"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"2","0.000038","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a08c)"
"3","0.000254","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"4","0.000287","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a08d)"
"5","0.000482","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"6","0.000519","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a08e)"
"7","0.000671","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"8","0.000718","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a08f)"
"9","0.000882","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"10","0.000919","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a090)"
"11","0.001028","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"12","0.001079","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a091)"
"13","0.001250","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"14","0.001282","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a092)"
"15","0.001440","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"16","0.001472","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a093)"
"17","0.001632","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"18","0.001664","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a094)"
"19","0.001820","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"20","0.001851","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a095)"
"21","0.001988","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"22","0.002019","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a096)"
"23","0.002193","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"24","0.002223","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a097)"
"25","0.002364","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"26","0.002394","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a098)"
"27","0.002575","192.168.3.14","192.168.100.5","UDP","1450","51000  >  6608 Len=1472"
"28","0.002605","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a099)"
