"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27628, Time=60144084"
"2","0.000038","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a08c)"
"3","0.000254","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27629, Time=60144084"
"4","0.000287","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a08d)"
"5","0.000482","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27630, Time=60144084"
"6","0.000519","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a08e)"
"7","0.000671","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27631, Time=60144084"
"8","0.000718","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a08f)"
"9","0.000882","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27632, Time=60144084"
"10","0.000919","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a090)"
"11","0.001028","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27633, Time=60144084"
"12","0.001079","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a091)"
"13","0.001250","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27634, Time=60144084"
"14","0.001282","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a092)"
"15","0.001440","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27635, Time=60144084"
"16","0.001472","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a093)"
"17","0.001632","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27636, Time=60144084"
"18","0.001664","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a094)"
